商品番号,商品名,宅配サイズ,内寸,外形三辺合計,厚み,形式,パレット配置,価格,URL
MA120-398,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（450×300×230mm）5mm A/F C120×C120,宅配120サイズ,450×300×230mm,120cm,5mm A/F,C120×C120,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-398
MA120-458,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（420×310×280mm）5mm A/F C5×C5,宅配120サイズ,420×310×280mm,120cm,5mm A/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-458
MA140-150,【宅配140サイズ】ダンボール箱（670×390×230mm）5mm A/F K5×K5,宅配140サイズ,670×390×230mm,140cm,5mm A/F,K5×K5,,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-150
MA120-131,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（674×194×168mm）3mm B/F C5×C5,宅配120サイズ,674×194×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-131
MA120-290,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×8段］（530×350×200mm）5mm A/F K5×K5,宅配120サイズ,530×350×200mm,120cm,5mm A/F,K5×K5,1段6箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-290
MA120-299,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×10段］（530×350×160mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,530×350×160mm,120cm,5mm A/F,K6×強化芯180g×K6,1段6箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-299
MA120-473,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（394×324×288mm）3mm B/F C5×C5,宅配120サイズ,394×324×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-473
MA120-474,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（390×320×280mm）5mm A/F K5×K5,宅配120サイズ,390×320×280mm,120cm,5mm A/F,K5×K5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-474
MAS140-066,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（670×390×230mm）5mm A/F 白C5×C5,宅配140サイズ,670×390×230mm,140cm,5mm A/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-066
MA140-173,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（640×420×280mm）5mm A/F K5×K5,宅配140サイズ,640×420×280mm,140cm,5mm A/F,K5×K5,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-173
MA120-257,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（584×234×168mm）3mm B/F C5×C5,宅配120サイズ,584×234×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-257
MA140-337,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（560×500×200mm）5mm A/F K5×K5,宅配140サイズ,560×500×200mm,140cm,5mm A/F,K5×K5,1段4箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-337
MA140-369,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×4段］（530×350×430mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,530×350×430mm,140cm,5mm A/F,K6×強化芯180g×K6,1段6箱×4段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-369
MA120-289,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段6箱×8段］（534×354×208mm）3mm B/F C5×C5,宅配120サイズ,534×354×208mm,120cm,3mm B/F,C5×C5,1段6箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-289
MA120-354,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（480×280×280mm）5mm A/F K5×K5,宅配120サイズ,480×280×280mm,120cm,5mm A/F,K5×K5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-354
MA120-358,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（480×280×230mm）5mm A/F K5×K5,宅配120サイズ,480×280×230mm,120cm,5mm A/F,K5×K5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-358
MA140-107,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（710×350×280mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,710×350×280mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-107
MA140-125,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（694×374×288mm）3mm B/F C5×C5,宅配140サイズ,694×374×288mm,140cm,3mm B/F,C5×C5,1段4箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-125
