商品名,SKU,袋数,セット数,推奨段ボール1,推奨段ボール2,推奨段ボール3
ヨーグルト種菌1袋セット,1103.19,1,1.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
ヨーグルト種菌1袋セット,1103.19,5,5.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
ヨーグルト種菌1袋セット,1103.19,10,10.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
ヨーグルト種菌1袋セット,1103.19,20,20.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
ヨーグルト種菌1袋セット,1103.19,30,30.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
ヨーグルト種菌1袋セット,1103.19,50,50.0,MA120-152 (634×194×148mm),MA120-192 (614×204×148mm),MA120-172 (624×204×148mm)
ヨーグルト種菌1袋セット,1103.19,120,120.0,MA140-259 (614×454×238mm),MAS140-115 (614×454×238mm),MA140-287 (594×474×238mm)
甘酒酵素1袋セット,1103.19,1,1.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
甘酒酵素1袋セット,1103.19,5,5.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
甘酒酵素1袋セット,1103.19,10,10.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
甘酒酵素1袋セット,1103.19,20,20.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
甘酒酵素1袋セット,1103.19,30,30.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
甘酒酵素1袋セット,1103.19,50,50.0,MA120-152 (634×194×148mm),MA120-192 (614×204×148mm),MA120-172 (624×204×148mm)
甘酒酵素1袋セット,1103.19,120,120.0,MA140-259 (614×454×238mm),MAS140-115 (614×454×238mm),MA140-287 (594×474×238mm)
米麹1袋セット,20250920-850,1,1.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
米麹1袋セット,20250920-850,5,5.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
米麹1袋セット,20250920-850,10,10.0,MA120-134 (664×184×148mm),MA120-152 (634×194×148mm),MA120-192 (614×204×148mm)
米麹1袋セット,20250920-850,20,20.0,MA120-418 (440×300×230mm),MAS120-189 (440×300×230mm),MA120-419 (440×300×230mm)
