商品名,SKU,段ボールコード,段ボール名,内寸,宅配サイズ,収容数,パレットぴったり,パレット配置,優先度,備考,URL
ヨーグルト種菌1袋セット,,MAS140-070,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（670×390×180mm）5mm A/F 白C5×C5",670×390×180mm,宅配140サイズ,120,○,1段4箱×9段,1,"【パレットぴったり】推定: 約120袋入り（ヨーグルト種菌1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-070
ヨーグルト種菌1袋セット,,MAS140-121,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（614×454×168mm）3mm B/F 白C5×C5",614×454×168mm,宅配140サイズ,120,○,1段4箱×10段,2,"【パレットぴったり】推定: 約120袋入り（ヨーグルト種菌1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-121
ヨーグルト種菌1袋セット,,MA120-302,"【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（530×260×340mm）5mm A/F K5×K5",530×260×340mm,宅配120サイズ,120,○,1段8箱×5段,3,"【パレットぴったり】推定: 約120袋入り（ヨーグルト種菌1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA120-302
甘酒酵素1袋セット,,MAS140-070,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（670×390×180mm）5mm A/F 白C5×C5",670×390×180mm,宅配140サイズ,120,○,1段4箱×9段,1,"【パレットぴったり】推定: 約120袋入り（甘酒酵素1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-070
甘酒酵素1袋セット,,MAS140-121,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（614×454×168mm）3mm B/F 白C5×C5",614×454×168mm,宅配140サイズ,120,○,1段4箱×10段,2,"【パレットぴったり】推定: 約120袋入り（甘酒酵素1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-121
甘酒酵素1袋セット,,MA120-302,"【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（530×260×340mm）5mm A/F K5×K5",530×260×340mm,宅配120サイズ,120,○,1段8箱×5段,3,"【パレットぴったり】推定: 約120袋入り（甘酒酵素1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA120-302
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-172,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F C5×C5",644×424×288mm,宅配140サイズ,110,○,1段4箱×6段,1,"【パレットぴったり】推定: 約110袋入り（黒ゴマアーモンドきな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-172
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MAS140-075,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（644×424×288mm）3mm B/F 白C5×C5",644×424×288mm,宅配140サイズ,110,○,1段4箱×6段,2,"【パレットぴったり】推定: 約110袋入り（黒ゴマアーモンドきな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MAS140-075
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-331,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（560×500×280mm）5mm A/F K6×強化芯180g×K6",560×500×280mm,宅配140サイズ,110,○,1段4箱×6段,3,"【パレットぴったり】推定: 約110袋入り（黒ゴマアーモンドきな粉150g×1袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-331
黒ゴマアーモンドきな粉150g×1袋セット,20250126-190B-1,MA140-183,"【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（634×414×188mm）8mm W/F C5×C5",634×414×188mm,宅配140サイズ,56,○,1段4箱×8段,4,"【パレットぴったり】推定: 約56袋入り（黒ゴマアーモンドきな粉150g×2袋セットの実績から計算）",https://www.notosiki.co.jp/item/detail?num=MA140-183
